uid,date,total_session_duration_in_seconds
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-06-05,132760.24300000002
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-06-07,161138.57100000003
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-06-09,154026.65199999997
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-13,0.0
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-16,247641.27899999998
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-17,58220.708999999995
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-23,518646.22500000003
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-24,113193.386
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-25,79027.883
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-28,267724.048
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-05-29,76932.18000000001
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-06-03,446311.282
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-06-05,179983.812
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-06-07,145813.514
J8FQbcWNUUhOw7NDUBjnsI44b4t2,2024-06-10,256425.796
Mdfom8mcVVZZ2iOaz2oJuUp9mhC2,2024-06-03,312.438
NaPJhyyglGO5W5en9C6P4BoUXof2,2024-05-24,479.259
O2XVZMacTGYqtKj6BTP6oJPX9cq2,2024-05-23,4965.24
OFfw0tOPqLfFbMCfwNoVYcxKNJf1,2024-05-24,98.35799999999999
PhNla2yiuRWfsVIdLT68ziekaVo2,2024-06-03,26.708000000000002
Px1wmpnT77OiXkoKZypvrs9YiIa2,2024-05-29,778.116
QngL02SxlmNaCVZS1677HBg6lEX2,2024-05-26,0.843
RM7mi4SVvGhIydxwmmt6djQQL3D3,2024-06-02,354.664
RM7mi4SVvGhIydxwmmt6djQQL3D3,2024-06-09,612173.3759999999
RPS3Z11YiGgEf0wCKcGp6lBu1a02,2024-05-27,184.758
SF41IxDyM4RSbTEsLNV1TP7JhdE2,2024-04-26,41518.946
SF41IxDyM4RSbTEsLNV1TP7JhdE2,2024-05-04,672598.9110000001
SF41IxDyM4RSbTEsLNV1TP7JhdE2,2024-05-16,1021429.895
SF41IxDyM4RSbTEsLNV1TP7JhdE2,2024-05-17,77544.975
SQlkjK4nySfJCuLT6DS4IdvURCC3,2024-05-14,4.533
TFCnSLH5dVabxpq36iEALmmsVgn1,2024-05-16,1594.6779999999999
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-03,2.864
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-04,112726.693
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-10,512544.355
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-14,355282.43600000005
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-15,89863.073
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-16,51565.46
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-17,114969.045
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-18,83888.401
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-19,76655.648
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-20,102303.843
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-21,50753.893000000004
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-06-01,966238.478
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-06-07,531369.521
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-06-09,156428.20799999998
UA1M59C8H0UtN5oIYKGV9DYoXVI2,2024-05-27,192.15800000000002
VACXPdk4TsUF70UeduW2icfq9X62,2024-05-27,193.13
VACXPdk4TsUF70UeduW2icfq9X62,2024-06-07,972264.684
VACXPdk4TsUF70UeduW2icfq9X62,2024-06-10,244061.055
VulbuFlwrTdFHxGh5d7aSZ9y17c2,2024-05-24,692.115
X5pSoHXR7oa4XH90Mg3huDaWASt1,2024-05-30,2105.411
axYHQ2yjnTdwLf6R7eP5LKm82Y53,2024-05-23,599.771
b6aunqCXt4RLfdmcQLxYZR1F6W33,2024-05-17,5261.286999999999
b6aunqCXt4RLfdmcQLxYZR1F6W33,2024-05-25,669446.805
bD9Zu0RHF0Vk1WGtyTAScOiZKRg2,2024-05-20,168.345
eqVRCGB0etRAiheg44A0jnSQcSm2,2024-05-19,18.679
erTb8ZSFbaQH1hUIRYvVoOEoAOm1,2024-05-18,10359.115
ffFOXVzeR2VK49LNLOTrVK2u6DV2,2024-05-25,136.78799999999998
g1Os1DQ1U9UxVfYBnLKIl03XTEm2,2024-05-27,39237.807
g1Os1DQ1U9UxVfYBnLKIl03XTEm2,2024-05-31,332303.985
g1Os1DQ1U9UxVfYBnLKIl03XTEm2,2024-06-03,261975.334
g1Os1DQ1U9UxVfYBnLKIl03XTEm2,2024-06-09,556819.8829999999
hA911Hr90KPbY6yO0OACx8tP2NE2,2024-05-16,182.008
hA911Hr90KPbY6yO0OACx8tP2NE2,2024-05-28,1029187.522
iAooyGTe0sVTTvfpNpQHg2hKTuv1,2024-05-25,256.938
is374p6NnHNF6Xu4obrSYzCYZTc2,2024-05-14,0.0
j1jWB00cpfQqRcebA5qcsGkPsyX2,2024-06-05,11.471
j1jWB00cpfQqRcebA5qcsGkPsyX2,2024-06-06,62403.848
j1jWB00cpfQqRcebA5qcsGkPsyX2,2024-06-07,74123.406
j1jWB00cpfQqRcebA5qcsGkPsyX2,2024-06-09,177200.75100000002
jkChc1Rrx9cuUyCM1LDJPS3Rl9h2,2024-05-18,838.809
ldBmjwfJ4nao6I0c3QkSWVyxInC3,2024-05-19,1769.7169999999999
ldBmjwfJ4nao6I0c3QkSWVyxInC3,2024-05-20,70817.758
m5LXPhXcsVfmlVuGJs7GJiaR18J3,2024-05-18,1628.3519999999999
m5LXPhXcsVfmlVuGJs7GJiaR18J3,2024-05-26,675011.1630000001
miy7809XCNhXj9Bv0VfPYXob3AD2,2024-05-30,679.8349999999999
omfHlCaqhLN7VprUtxb6IsvPNcr2,2024-06-02,6993.858
omfHlCaqhLN7VprUtxb6IsvPNcr2,2024-06-04,148962.037
omfHlCaqhLN7VprUtxb6IsvPNcr2,2024-06-10,515485.692
pEezqCBcnYggWksfwA86n2weRJG3,2024-05-20,0.0
