osVersion,brandDevice,isAndroid,uid,modelDevice,device,displayDevice,idDevice,hardwareDevice
"2.18.4 (stable) (Tue Nov 1 15:15:07 2022 +0000) on ""android_arm64""",samsung,True,,SM-S711B,r11s,UP1A.231005.007.S711BXXS3CXE4,UP1A.231005.007,s5e9925
"2.18.4 (stable) (Tue Nov 1 15:15:07 2022 +0000) on ""android_arm64""",motorola,True,,moto g42,hawao,T2SES33.73-23-2-5,T2SES33.73-23-2-5,qcom
14,samsung,True,t9cM4WpKxdhhI6qYJ4hOJv3klds2,SM-S901B,r0s,UP1A.231005.007.S901BXXS8DXD2,UP1A.231005.007,s5e9925
11,Xiaomi,True,uAncaFrlwHdOlav3P7h4cAm3bMJ3,M2007J3SG,apollo,RKQ1.200826.002 test-keys,RKQ1.200826.002,qcom
17.5.1,"iPhone14,5",False,uXAgoC9mauMMGQMahyxiuHhGnGJ3,iPhone,iPhone,iOS,,Darwin
14,samsung,True,uXnnBb0D5yZiOrroCy3JCZ6FxPR2,SM-S918B,dm3q,UP1A.231005.007.S918BXXS5CXDE,UP1A.231005.007,qcom
"2.18.4 (stable) (Tue Nov 1 15:15:07 2022 +0000) on ""android_arm64""",POCO,True,,M2102J20SG,vayu,RKQ1.200826.002 test-keys,RKQ1.200826.002,qcom
"2.18.4 (stable) (Tue Nov 1 15:15:07 2022 +0000) on ""android_arm64""",samsung,True,,SM-F721B,b4q,UP1A.231005.007.F721BXXS5EXD1,UP1A.231005.007,qcom
10,HUAWEI,True,xd90PSoHbugHnzRD3eqHotP076X2,HMA-L29,HWHMA,HMA-L29 10.1.0.289(C432E8R1P5),HUAWEIHMA-L29,kirin980
12,vivo,True,xgDgsGLYg7UttGQHjZ1cYneETio1,V2050,2050,SP1A.210812.003 release-keys,SP1A.210812.003,mt6853
17.1.2,"iPhone12,3",False,yK8bHykMuPg4KqJof3jeuMI7Dn72,iPhone,iPhone,iOS,,Darwin
14,samsung,True,z4KDXAVTG5XJAZNShFK53aNjwbv2,SM-T220,gta7litewifi,UP1A.231005.007.T220XXU6DWLB,UP1A.231005.007,mt6765
14,google,True,z5Vl3tUSRgalHfSho6JFNkpjxpn1,Pixel 7 Pro,cheetah,AP1A.240505.005,AP1A.240505.005,cheetah
17.4.1,"iPhone12,1",False,zAUbebwMo3TY8MqBKBldpDeyIUb2,iPhone,iPhone,iOS,,Darwin
