body,idPrestataire,isRead,title,idTransaction,updatedAt,uid,createdAt
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407138,NZfnMAMd7Jb13ZbRifjzV46ECzD2,1714834407138
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407119,3UbYH1vKFPRcuO9dRpq8wIgomaC3,1714834407119
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407146,dQnTCiX60eMG7nAVBAZTEWrUoAE2,1714834407146
Vous avez reçu une DEMANDE de paiement,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,False,Demande de kamssu,2tUW0RsIBl7BCad3AxzS1721214991420,1721215003138,IwXqh3xp8hThQlDQH6wLJo39eS02,1721215003138
Visitez votre application afin de découvrir nos nouveaux prestataires.,,True,Nouveaux Prestataires,,1716045216290,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,1714834182553
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407094,5yMRNzRTNSN5Wk09vFZw9Y8cQ7k2,1714834407094
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407191,bRyEs4fJCxUCJnh0rphWbVepxZm1,1714834407191
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407154,qyHAbRJIqnhCxTvPhLDABm6fDzW2,1714834407154
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407094,0BTdhYq8NkaNOYIDvy4lhRcVime2,1714834407094
Transaction REJETÉE par le Payeur,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La transaction a été REFUSÉE par NGANDEU,nfS5UvyARVqI2C07Lz7i1714827744304,1714836005582,914umpyeZkY5lglo8KGumeZWF002,1714828036733
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182546,e1x0G6iwqAQmHKTUkHAGNwlt8QW2,1714834182546
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,lR6kWBbBejwfs1mdeCud1715886550474,1719478559537,914umpyeZkY5lglo8KGumeZWF002,1715926977602
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182556,b5irwk1tJbYBh6u9sNYZ3fMUuz02,1714834182556
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182555,6GvPFQqZSNWJQvqkjwlpshYZFKq2,1714834182555
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182532,Z9Ex7bw1kLXTRmQtpJxCet3Npsh2,1714834182532
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182486,dKZOfQ9qRmca3RSxyRqP4ycxclS2,1714834182486
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,IY34zjAhWsy6WoHSOPNe1711019198351,1711463265648,914umpyeZkY5lglo8KGumeZWF002,1711453504062
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,lR6kWBbBejwfs1mdeCud1715886550474,1715927031035,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1715926977603
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182486,PhNla2yiuRWfsVIdLT68ziekaVo2,1714834182486
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182524,EkLv5MN9ZpgW35eW8gLyqL4WDBu2,1714834182524
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407102,GjBx95riQnTtpAMxKqhMKOa8uos2,1714834407102
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407137,Z9Ex7bw1kLXTRmQtpJxCet3Npsh2,1714834407137
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407161,Z6ugaHEyA7aQQx0j1Zu1xMBY93B3,1714834407161
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,AOpbBhTnMDPSJgpaQfAk1709922753729,1709925884539,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1709924809572
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407092,sGOD7fOaniTtCXc16nSRvqNtTmt2,1714834407092
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182552,KpeYAZvLOUhl3Q8tgA11GjyRwX53,1714834182552
L'équipe Dhoola vous souhaite un excellent week-end!,,True,Bon Week-end ,,1716536306602,OFfw0tOPqLfFbMCfwNoVYcxKNJf1,1714834407120
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182545,vTXv1CGFmNZy9lQOOMKMj0tkZxh2,1714834182545
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182546,Zk9PEUScVMSSCLVxMf25OSDlrqH3,1714834182546
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,7Z6oUXAdpQWu3iOjN0H51716027206503,1716027707365,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1716027523918
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182504,rwBJZjrsiQPybyqN0S5CWnHgYAr1,1714834182504
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407208,v7tJyyg4QnSfQRw1bQM9pFM6spY2,1714834407208
