uid,date,session_id,session_start,session_end,session_duration_in_seconds,visited_pages
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-23,1.0,2024-05-23 09:42:56.961,2024-05-23 09:50:30.309,453.348,"['prestataireHomePage', 'prestataireHomePage', 'prestataireTransactionPage', 'codePinPage', 'codePinPage', 'prestataireHomePage', 'prestataireHomePage', 'codePinPage', 'prestataireHomePage', 'prestataireConversationPage', 'prestataireConversationPage']"
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-23,2.0,2024-05-23 10:45:41.687,2024-05-23 10:59:21.291,819.604,"['codePinPage', 'prestataireHomePage', 'prestataireHomePage', 'codePinPage', 'prestataireHomePage', 'codePinPage', 'codePinPage']"
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-23,3.0,2024-05-23 14:05:52.724,2024-05-23 14:05:53.490,0.766,[]
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-24,4.0,2024-05-24 06:22:33.319,2024-05-24 06:59:01.307,2187.988,"['codePinPage', 'codePinPage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'codePinPage', 'prestataireTransactionPage', 'prestataireHomePage', 'prestataireHomePage', 'codePinPage', 'prestataireHomePage', 'codePinPage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireScanPage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'codePinPage', 'prestataireHomePage', 'prestataireHomePage', 'codePinPage', 'prestataireConversationPage', 'codePinPage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'codePinPage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage']"
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-24,5.0,2024-05-24 21:36:16.499,2024-05-24 21:39:59.085,222.586,['prestataireHomePage']
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-25,6.0,2024-05-25 17:04:36.733,2024-05-25 17:04:38.509,1.776,[]
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-26,7.0,2024-05-26 20:34:59.774,2024-05-26 20:39:04.908,245.134,"['prestataireTransactionPage', 'codePinPage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireConversationPage']"
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-30,8.0,2024-05-30 15:21:21.818,2024-05-30 15:21:23.225,1.407,[]
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-31,9.0,2024-05-31 15:27:16.579,2024-05-31 15:27:16.579,0.0,[]
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-06-01,10.0,2024-06-01 15:28:10.088,2024-06-01 15:28:11.043,0.955,[]
